name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Eastridge Glamping - Camping Pods,"Situated within 38 km of Ironbridge Gorge and 39 km of Telford International Centre in Shrewsbury, Eastridge Glamping - Camping Pods features accommodation...",Habberley Road,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping,
Victoria House,"Boasting a garden and views of garden, Victoria House is a guest house set in a historic building in Church Stretton, 29 km from Ironbridge Gorge.",48 High Street,,,Church Stretton,Shropshire,SY6 6BX,UK,,,,,SY6,Guest house,Managed by Diane Chadwick,
Hereford Road Shrewsbury Cottage,"Offering garden views, Hereford Road Shrewsbury Cottage is an accommodation set in Shrewsbury, 26 km from Telford International Centre and 1.",98 Hereford Road,,,Shrewsbury,Shropshire,SY3 7RA,UK,,,,,SY3,Apartment,,Entire apartment
The Stables,"Set 25 km from Ironbridge Gorge, The Stables offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7HD,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Fair View,"Set in Shrewsbury and only 29 km from Telford International Centre, Fair View offers accommodation with quiet street views, free WiFi and free private...",28 Farmlodge Lane,,,Shrewsbury,Shropshire,SY1 3ST,UK,,,,,SY1,Holiday home,Hosted by Keith,Entire home
Pass the Keys 2 Bedroom Apartment with Parking,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Pass the Keys 2 Bedroom Apartment with Parking provides accommodation...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6FR,UK,,,,,SY2,Apartment,,Entire apartment
The Caradoc,"A recently renovated holiday home situated in Shrewsbury, The Caradoc features a garden.",The Old Forge Longnor,,,Shrewsbury,Shropshire,SY5 7QF,UK,,,,,SY5,Holiday home,Managed by Forge Holidays,Entire home
Simply Shrewsbury,"Situated in Bicton and only 30 km from Ironbridge Gorge, Simply Shrewsbury features accommodation with garden views, free WiFi and free private parking.",65 The Ridings,,,Bicton,Shropshire,SY3 5ET,UK,,,,,SY3,Holiday home,Hosted by Penny - Penelope Jane Property,Entire home
The Old Chapel,"The Old Chapel, a property with barbecue facilities, is situated in Shelve, 46 km from Telford International Centre, 22 km from Shrewsbury Cathedral, as...",Shelve,,,Shelve,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"Burlington Place, Shrewsbury. 2 bedroom, private parking, 5 minutes from town","Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Burlington Place, Shrewsbury.",9 Burlington Place,,,Shrewsbury,Shropshire,SY3 7LF,UK,,,,,SY3,Apartment,Hosted by Jessica,Entire apartment
Pass the Keys Luxury 5 bedroom Riverside home in town centre,"Offering a garden and garden view, Pass the Keys Luxury 5 bedroom Riverside home in town centre is located in Shrewsbury, 25 km from Ironbridge Gorge and...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 7AQ,UK,,,,,SY3,Holiday home,Managed by John,Entire home
ryton grange hay barn sleeps 6,"Located 32 km from Telford International Centre, 11 km from Shrewsbury Cathedral and 14 km from Attingham Park, ryton grange hay barn sleeps 6 provides...",ryton grange,,,Shrewsbury,Shropshire,SY5 7LW,UK,,,,,SY5,Holiday home,Hosted by emma and richard,Entire home
Lindens Annexe,"Set 43 km from Ironbridge Gorge, Lindens Annexe offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 0AL,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ravelstone,"Located in Church Stretton in the Shropshire region, Ravelstone features a patio.",5 Shrewsbury Road,,,Church Stretton,Shropshire,SY6 6JA,UK,,,,,SY6,Holiday home,,Entire home
Shepherds Cottage,"Featuring garden views, Shepherds Cottage provides accommodation with a patio, around 36 km from Telford International Centre.",Shepherds Cottage,,,Shrewsbury,Shropshire,SY4 2LE,UK,,,,,SY4,Holiday home,,Entire home
Mountain Edge Resort Mega pod 1,"Boasting a hot tub, Mountain Edge Resort Mega pod 1 is located in Church Stretton.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
The Parlour - Uk10958,"The Parlour - Uk10958, a property with a garden, is set in Walford, 18 km from Shrewsbury Cathedral, 20 km from Whittington Castle, as well as 25 km from...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
3 Oaks Lodge,"3 Oaks Lodge, a property with a garden, is set in Shrewsbury, 39 km from Telford International Centre, 14 km from Shrewsbury Cathedral, as well as 21 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8DT,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Old Barn,"Set 24 km from Ironbridge Gorge, The Old Barn offers accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 7JB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Pickle Cottage,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Pickle Cottage features accommodation with garden views, free WiFi and free private...",1 Crossways,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,,Entire home
Bequia - Reet,"Bequia - Reet is located in Frodesley, 15 km from Attingham Park, 20 km from Shrewsbury Cathedral, as well as 22 km from Stokesay Castle.",Frodesley,,,Frodesley,Shropshire,SY6,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Forrester House,"Situated 44 km from Chester Racecourse, Forrester House features accommodation with free WiFi and free private parking.",Whitchurch,,,Whitchurch,Shropshire,SY13 2QS,UK,,,,,SY13,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Coach House - Uk32461,"The Coach House - Uk32461, a property with a garden, is situated in Walford, 20 km from Whittington Castle, 25 km from Attingham Park, as well as 29 km...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Spacious first floor apartment in the centre of Church Stretton with free parking,"Offering mountain views, Spacious first floor apartment in the centre of Church Stretton with free parking is an accommodation located in Church Stretton,...",Sandford Avenue 2 Lorne House,,,Church Stretton,Shropshire,SY6 6BW,UK,,,,,SY6,Apartment,Hosted by Elaine,Entire apartment
Rose Cottage,"Rose Cottage has a patio and is situated in Shrewsbury, within just 1.5 km of Shrewsbury Cathedral. This holiday home is 7 km from Attingham Park and 2.",38 Rea Street,,,Shrewsbury,Shropshire,SY3 7PT,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
"2 bed house, walking distance Shrewsbury centre","Featuring garden views, 2 bed house, walking distance Shrewsbury centre provides accommodation with a garden and a patio, around 26 km from Ironbridge...",4 Glendower Court,,,Shrewsbury,Shropshire,SY1 2RG,UK,,,,,SY1,Apartment,Hosted by James & Anna,Entire apartment
Shepherds Cottage,"Featuring garden views, Shepherds Cottage provides accommodation with a patio, around 36 km from Telford International Centre.",Shepherds Cottage,,,Shrewsbury,Shropshire,SY4 2LE,UK,,,,,SY4,Holiday home,,Entire home
4 Bedroom Townhouse 10mins walk from Shrewsbury Town Centre with Parking,"4 Bedroom Townhouse 10mins walk from Shrewsbury Town Centre with Parking, a property with a garden and a terrace, is located in Shrewsbury, 26 km from...",22 Beddow Close,,,Shrewsbury,Shropshire,SY1 2NX,UK,,,,,SY1,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
Red Lion Lodge,"Red Lion Lodge, a property with a garden, is set in Myddle, 14 km from Shrewsbury Cathedral, 21 km from Attingham Park, as well as 22 km from Whittington...",Myddle,,,Myddle,Shropshire,SY4 3RP,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Grange Barn,"Located 41 km from Telford International Centre, Grange Barn provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY4 5ST,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys 4 Bedroom home close to town,"Situated in Shrewsbury in the Shropshire region, Pass the Keys 4 Bedroom home close to town features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2TE,UK,,,,,SY1,Holiday home,Managed by Richard,Entire home
Eastridge Glamping - Camping Pods,"Situated within 38 km of Ironbridge Gorge and 39 km of Telford International Centre in Shrewsbury, Eastridge Glamping - Camping Pods features accommodation...",Habberley Road,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping,
Farmhouse studio near Shrewsbury,"Offering a garden and mountain view, Farmhouse studio near Shrewsbury is situated in Shrewsbury, 37 km from Ironbridge Gorge and 48 km from Trentham...",Hill Farm,Clive,Shrewsbury Shopshire,Shrewsbury,Shropshire,SY4 5PX,UK,,,,,SY4,Bed and breakfast,Hosted by Louise Worthington,
The Wilderness,"The Wilderness, a property with barbecue facilities, is located in Bromlow, 46 km from Telford International Centre, 22 km from Shrewsbury Cathedral, as...",Bromlow,,,Bromlow,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Callow Lodge 22,"Boasting a hot tub, Callow Lodge 22 is set in Hadnall. The property is located 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Abbey Foregate,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey Foregate offers accommodation with free WiFi and free private parking.",Abbey Foregate,,,Shrewsbury,Shropshire,SY2 6AH,UK,,,,,SY2,Holiday home,Managed by City Nine,Entire home
The annex at 44 Belvidere Road,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, The annex at 44 Belvidere Road features accommodation with free WiFi and...",44 Belvidere Road,,,Shrewsbury,Shropshire,SY2 5LX,UK,,,,,SY2,Apartment,,Entire apartment
The Old School B&B,"Featuring free WiFi, The Old School B&B is located in Shawbury, 14.5 km Shrewsbury. Free private parking is available on site.",Moreton Corbet,,,Shawbury,Shropshire,SY4 4DW,UK,,,,,SY4,Bed and breakfast,,
Shepherds Cottage,"Shepherds Cottage, a property with a garden, is situated in Church Stretton, 14 km from Stokesay Castle, 22 km from Shrewsbury Cathedral, as well as 25 km...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DP,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,Managed by Katie,Entire home
Pass the Keys 3 Storey Townhouse,"Pass the Keys 3 Storey Townhouse, a property with a garden, is set in Shrewsbury, 26 km from Telford International Centre, 1.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2HT,UK,,,,,SY1,Holiday home,Managed by Sarah,Entire home
The Carriage House,"The Carriage House is located in Shrewsbury, 27 km from Telford International Centre, less than 1 km from Shrewsbury Cathedral, and 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1QD,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The shepherds hut,"Offering a terrace and garden view, The shepherds hut is situated in Shrewsbury, 32 km from Telford International Centre and 10 km from Shrewsbury...",Smallbatch cottage,Exfords green,longden,Shrewsbury,Shropshire,SY5 8HG,UK,,,,,SY5,Luxury tent,,
"21 ,North Street","Providing free WiFi, parking on-site and a garden, the recently renovated property of 21, North Street, offers rooms in Shrewsbury, 25 km from Ironbridge...",21 North Street,,,Shrewsbury,Shropshire,SY1 2JG,UK,,,,,SY1,Homestay,Hosted by Monica Sharma,
The Old Dairy,"The Old Dairy, a property with a garden, is set in Shrewsbury, 31 km from Telford International Centre, 10 km from Shrewsbury Cathedral, as well as 13 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7EF,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia,"Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia is located in Shrewsbury, 26 km from Telford International Centre, 700 metres from Shrewsbury...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Shrewsbury Townhouse with Parking,"Located in Harlescott and only 24 km from Telford International Centre, Shrewsbury Townhouse with Parking provides accommodation with quiet street views,...",1 Old Heath,,,Harlescott,Shropshire,SY1 4SB,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
Forrester House,"Situated 44 km from Chester Racecourse, Forrester House features accommodation with free WiFi and free private parking.",Whitchurch,,,Whitchurch,Shropshire,SY13 2QS,UK,,,,,SY13,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Orchard Retreat,"The Orchard Retreat, a property with a garden and a bar, is set in Shrewsbury, 34 km from Ironbridge Gorge, 35 km from Telford International Centre, as...",the swallows,,,Shrewsbury,Shropshire,SY5 9GD,UK,,,,,SY5,Campsite,,
Callow Lodge,"Callow Lodge, a property with a garden, is located in Meadowtown, 26 km from Clun Castle, 26 km from Shrewsbury Cathedral, as well as 27 km from Dolforwyn...",Meadowtown,,,Meadowtown,Shropshire,SY5 0DU,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Shrewsbury Townhouse with Open Plan Living,"Located 24 km from Telford International Centre, Shrewsbury Townhouse with Open Plan Living provides accommodation with free WiFi and free private parking.",1 Old Heath 7 Hansas,,,Shrewsbury,Shropshire,SY1 4SG,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
Elsies Cottage,"Located 35 km from Ironbridge Gorge, Elsies Cottage provides accommodation with free WiFi and free private parking.",Pontesbury,,,Pontesbury,Shropshire,SY5 0UH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
The Hayloft,"Featuring a hot tub, The Hayloft is situated in Shelve.",Shelve,,,Shelve,Shropshire,SY5 0LZ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ramblers retreat,"Featuring a hot tub, Ramblers retreat is set in Shrewsbury.",Stone house hope common minsterley,,,Shrewsbury,Shropshire,SY5 0HF,UK,,,,,SY5,Holiday home,Hosted by Nicola,Entire home
ryton grange hay barn sleeps 6,"Located 32 km from Telford International Centre, 11 km from Shrewsbury Cathedral and 14 km from Attingham Park, ryton grange hay barn sleeps 6 provides...",ryton grange,,,Shrewsbury,Shropshire,SY5 7LW,UK,,,,,SY5,Holiday home,Hosted by emma and richard,Entire home
1 Bed in Shrewsbury 73521,"Set in Ford and only 33 km from Ironbridge Gorge, 1 Bed in Shrewsbury 73521 offers accommodation with garden views, free WiFi and free private parking.","Meadowside
Ford
Shropshire",,,Ford,Shropshire,SY5 9LE,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
The Orchard Retreat,"The Orchard Retreat, a property with a garden and a bar, is set in Shrewsbury, 34 km from Ironbridge Gorge, 35 km from Telford International Centre, as...",the swallows,,,Shrewsbury,Shropshire,SY5 9GD,UK,,,,,SY5,Campsite,,
4 bed in Oswestry 73291,"Located in Kinnerley and only 46 km from Ironbridge Gorge, 4 bed in Oswestry 73291 provides accommodation with garden views, free WiFi and free private...","Kinnerley Road
Knockin",,,Kinnerley,Shropshire,SY10 8DB,UK,,,,,SY10,Holiday home,Managed by holidaycottages-co-uk,Entire home
Creamore Grove Wem Shrewsbury,"Located in Wem, Creamore Grove Wem Shrewsbury is a recently renovated accommodation, 39 km from Telford International Centre and 42 km from Ironbridge...",Whitchurch Road,,,Wem,Shropshire,SY4 5AQ,UK,,,,,SY4,Holiday home,Hosted by Charlotte,Entire home
The Carriage House,"The Carriage House is located in Shrewsbury, 27 km from Telford International Centre, less than 1 km from Shrewsbury Cathedral, and 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1QD,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ensdon Lea Cottage,"Ensdon Lea Cottage, a property with a garden, is located in Shrewsbury, 37 km from Telford International Centre, 12 km from Shrewsbury Cathedral, as well...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 1EN,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Clematis Cottage,"Set 45 km from Ironbridge Gorge, Clematis Cottage offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 9HN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Shooting Lodge,"The Shooting Lodge, a property with a garden, is located in Acton Scott, 49 km from Telford International Centre, 9.",Acton Scott,,,Acton Scott,Shropshire,SY6,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Rose Hill,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Rose Hill offers accommodation with free WiFi and free private parking.",17 Porthill Drive,,,Shrewsbury,Shropshire,SY3 8RP,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Beaconsfield Park,"Featuring a hot tub, Beaconsfield Park is set in Shrewsbury. There is an on-site restaurant, plus free private parking and free WiFi are available.",Upper Battlefield,,,Shrewsbury,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday park,Managed by Hoseasons,
Mossy Lodge,"Situated 48 km from Ironbridge Gorge, Mossy Lodge features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 0HJ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Shrewsbury Townhouse,"Offering inner courtyard views, Shrewsbury Townhouse is an accommodation set in Shrewsbury, 27 km from Telford International Centre and 1.",2 Mount Street,,,Shrewsbury,Shropshire,SY3 8QP,UK,,,,,SY3,Holiday home,Hosted by Adrian,Entire home
THE COACHING BARNS,"THE COACHING BARNS is located in Shrewsbury, 39 km from Telford International Centre and 41 km from Ironbridge Gorge.",73a ASTON STREET WEM,,,Shrewsbury,Shropshire,SY4 5AU,UK,,,,,SY4,Motel,,
Mytton and Mermaid - Brunning and Price,"The Mytton and Mermaid - Brunning and Price is a splendid Grade II-listed building on the bank of the River Severn, England’s longest river.",Atcham,,,Shrewsbury,Shropshire,SY5 6QG,UK,,,,,SY5,Hotel,,
Casaamor Homes,"Casaamor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",SY12BG,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Apartment,,Entire apartment
Bell Cottage right in the heart of Bridgnorth,"Set in Bridgnorth, 13 km from Ironbridge Gorge and 19 km from Telford International Centre, Bell Cottage right in the heart of Bridgnorth offers...",bell cottage,,,Bridgnorth,Shropshire,WV16 4DQ,UK,,,,,WV16,Apartment,Managed by Bell Cottage,Entire apartment
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Pass the Keys Cheerful and modern one bedroom home with parking,"Pass the Keys Cheerful and modern one bedroom home with parking, a property with a garden, is situated in Shrewsbury, 28 km from Telford International...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 6DN,UK,,,,,SY3,Holiday home,,Entire home
Habberley Glamping Pods,"Habberley Glamping Pods is a recently renovated campground in Shrewsbury, where guests can make the most of its garden and barbecue facilities.",EastridgeGlamping,Habberley,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping Limited,
Willow View,"Willow View is located in Shrewsbury, 27 km from Telford International Centre, 1.3 km from Shrewsbury Cathedral, as well as 8.9 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pippin's Place,"Located in Shrewsbury in the Shropshire region and Ironbridge Gorge reachable within 25 km, Pippin's Place provides accommodation with free WiFi, barbecue...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2HL,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Rose Cottage,"Rose Cottage has a patio and is situated in Shrewsbury, within just 1.5 km of Shrewsbury Cathedral. This holiday home is 7 km from Attingham Park and 2.",38 Rea Street,,,Shrewsbury,Shropshire,SY3 7PT,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Corbett Cottage,"Corbett Cottage, a property with a garden, is situated in Plealey, 15 km from Attingham Park, 30 km from Whittington Castle, as well as 33 km from Stokesay...",Plealey,,,Plealey,,SY5 0XP,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Manor Cottage,"Manor Cottage is located in Church Stretton, 45 km from Telford International Centre, 11 km from Stokesay Castle, and 23 km from Ludlow Castle.",Church Stretton,,,Church Stretton,Shropshire,SY6 6RE,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Mercure Shrewsbury Albrighton Hall Hotel & Spa,"A 300-year-old 4-star country house hotel, the Mercure Shrewsbury Albrighton Hall Hotel & Spa offers en suite rooms, a restaurant and bar, as well as a...",Ellesmere Road,,,Shrewsbury,Shropshire,SY4 3AG,UK,,,,,SY4,Hotel,,
NiCheGetaway,"Housed in a historic building, NiCheGetaway provides accommodation with a garden and free WiFi in Shrewsbury, 26 km from Ironbridge Gorge.",Claremont buildings apartment 5Q,,,Shrewsbury,Shropshire,SY1 1RJ,UK,,,,,SY1,Apartment,Hosted by At Niche gateway a real special retreat,Entire apartment
Family home close to Shrewsbury Town centre,"Family home close to Shrewsbury Town centre, a property with a garden, is set in Shrewsbury, 25 km from Telford International Centre, 50 km from...",Wilfred Owen Close,,,Shrewsbury,Shropshire,SY2 5BY,UK,,,,,SY2,Holiday home,Hosted by James & Anna,Entire home
Shrewsbury Townhouse with Open Plan Living,"Located 24 km from Telford International Centre, Shrewsbury Townhouse with Open Plan Living provides accommodation with free WiFi and free private parking.",1 Old Heath 7 Hansas,,,Shrewsbury,Shropshire,SY1 4SG,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
The Shooting Lodge,"The Shooting Lodge, a property with a garden, is located in Acton Scott, 49 km from Telford International Centre, 9.",Acton Scott,,,Acton Scott,Shropshire,SY6,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Pass the Keys A unique and cosy cottage - optional hot tub,"Located in Church Stretton in the Shropshire region, Pass the Keys A unique and cosy cottage - optional hot tub has a terrace.",Church Stretton,,,Church Stretton,Shropshire,SY6 6DA,UK,,,,,SY6,Holiday home,Managed by David,Entire home
At Home,"Located in Shrewsbury, the recently renovated At Home provides accommodation 25 km from Ironbridge Gorge and 26 km from Telford International Centre.",18 Castle Street,,,Shrewsbury,Shropshire,SY1 2AZ,UK,,,,,SY1,Apartment,Managed by At Home Apartments,Apartments
Simply Shrewsbury,"Situated in Bicton and only 30 km from Ironbridge Gorge, Simply Shrewsbury features accommodation with garden views, free WiFi and free private parking.",65 The Ridings,,,Bicton,Shropshire,SY3 5ET,UK,,,,,SY3,Holiday home,Hosted by Penny - Penelope Jane Property,Entire home
9 Portobello,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 9 Portobello features accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6BX,UK,,,,,SY2,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Albright Hussey Manor,"Set in beautiful gardens and surrounded by an original moat, the Albright Hussey Manor is a privately owned 16th-century Manor house bursting with original...",Ellesmere Road,Broad Oak,,Shrewsbury,Shropshire,SY4 3AF,UK,,,,,SY4,Hotel,,
Elsies Cottage,"Located 35 km from Ironbridge Gorge, Elsies Cottage provides accommodation with free WiFi and free private parking.",Pontesbury,,,Pontesbury,Shropshire,SY5 0UH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Betty's Barn,"Situated 35 km from Telford International Centre, 12 km from Stokesay Castle and 17 km from Ludlow Castle, Betty's Barn offers accommodation located in...",Eaton,,,Eaton,Shropshire,SY6 7DJ,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Unique charming and peaceful countryside lodge,"Set in Shrewsbury in the Shropshire region, Pass the Keys Unique charming and peaceful countryside lodge offers accommodation with free WiFi and free...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4EE,UK,,,,,SY4,Holiday home,Managed by Stef and Rob,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
The annex at 44 Belvidere Road,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, The annex at 44 Belvidere Road features accommodation with free WiFi and...",44 Belvidere Road,,,Shrewsbury,Shropshire,SY2 5LX,UK,,,,,SY2,Apartment,,Entire apartment
Huglith Farm,"Huglith Farm, a property with a garden and barbecue facilities, is located in Habberley, 43 km from Telford International Centre, 19 km from Shrewsbury...",Habberley,,,Habberley,Shropshire,SY5 0SQ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Fair Haven,"Located 24 km from Telford International Centre, Fair Haven provides accommodation with free WiFi and free private parking.",30 Montgomery Way,,,Shrewsbury,Shropshire,SY1 4SW,UK,,,,,SY1,Holiday home,Hosted by Keith,Entire home
Beaconsfield Park,"Featuring a hot tub, Beaconsfield Park is set in Shrewsbury. There is an on-site restaurant, plus free private parking and free WiFi are available.",Upper Battlefield,,,Shrewsbury,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday park,Managed by Hoseasons,
Abbots Mead Hotel,"In the heart of Shrewsbury town centre, with free private parking and free Wi-Fi, this carefully preserved Georgian townhouse offers, 16 en suite rooms and...",St Julians Friars,,,Shrewsbury,Shropshire,SY1 1XL,UK,,,,,SY1,Hotel,,
Shrewsbury Townhouse with Parking,"Located in Harlescott and only 24 km from Telford International Centre, Shrewsbury Townhouse with Parking provides accommodation with quiet street views,...",1 Old Heath,,,Harlescott,Shropshire,SY1 4SB,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
4 Bedroom House. Close to Shrewsbury Town Centre,"4 Bedroom House. Close to Shrewsbury Town Centre, a property with a garden, is located in Shrewsbury, 27 km from Telford International Centre, 1.",2 Coton Crescent,,,Shrewsbury,Shropshire,SY1 2NY,UK,,,,,SY1,Holiday home,,Entire home
"Pass the Keys Two bedroom Victoria Town house, easy walk of town","Pass the Keys Two bedroom Victoria Town house, easy walk of town, a property with a garden, is located in Shrewsbury, 25 km from Telford International...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5DN,UK,,,,,SY2,Holiday home,Managed by Lucinda,Entire home
1 Bed in Shrewsbury 73521,"Set in Ford and only 33 km from Ironbridge Gorge, 1 Bed in Shrewsbury 73521 offers accommodation with garden views, free WiFi and free private parking.","Meadowside
Ford
Shropshire",,,Ford,Shropshire,SY5 9LE,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
